POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2600,45,2819,1641,540,4035,0.8,3016,2.2
POA2601,22,1950,525,550,2895,1.1,2232,1.7
POA2602,36,2167,1257,436,3124,0.9,2337,2.4
POA2603,41,2500,1596,481,4094,0.9,2991,2.3
POA2604,37,2150,1585,500,3395,0.9,2434,2
POA2605,41,2650,1333,490,3631,0.8,2894,2.6
POA2606,34,1800,1258,430,2684,1,2156,2.2
POA2607,42,2383,1225,440,3109,0.8,2418,2.5
POA2609,47,2800,823,322,1850,0.9,1116,1.9
POA2611,36,2167,1301,450,3069,0.8,2482,2.6
POA2612,30,1987,1425,490,3320,1,2371,2
POA2614,39,2102,1157,418,2843,0.8,2250,2.5
POA2615,36,2000,1106,420,2620,0.8,2262,2.7
POA2617,32,1950,1074,440,2534,0.9,2177,2.4
POA2618,44,2899,1125,449,3125,0.8,2878,3
POA2900,36,1625,1196,450,2343,0.9,1860,1.9
POA2902,41,2000,1070,400,2630,0.7,2207,2.6
POA2903,39,2100,1128,400,2710,0.8,2311,2.6
POA2904,41,2167,1209,462,2994,0.7,2577,2.7
POA2905,37,2000,1125,430,2639,0.8,2311,2.7
POA2906,37,2000,1166,410,2785,0.8,2410,2.7
POA2911,34,2400,1394,460,3235,0.9,2807,2.8
POA2912,31,1801,1048,450,2395,1,2208,2.6
POA2913,34,2000,1180,460,2737,0.8,2429,2.8
POA2914,31,2167,1244,480,2998,0.9,2841,3.1
