POA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
POA2600,106,51,47,102,48,46,90,47,38,81,56,67,126,266,241,508,53,61,109,61,66,124,56,49,106,50,66,123,60,43,107,283,283,569,56,64,120,31,48,81,44,60,102,38,53,92,47,57,106,222,281,502,52,63,114,59,75,133,52,64,123,62,76,136,59,62,114,289,336,626,47,60,110,39,37,76,45,36,87,32,28,63,34,29,62,199,193,395,89,132,219,53,81,133,26,49,78,3,18,24,0,6,6,3911,4348,8255
POA2601,21,19,10,34,16,20,35,14,13,29,16,16,31,76,80,153,19,12,24,17,15,30,12,12,22,17,14,31,11,8,21,67,56,122,11,6,23,12,6,14,11,7,24,8,12,19,13,7,15,56,40,98,6,8,19,3,9,12,12,4,16,8,9,17,10,10,25,40,45,92,9,5,10,10,6,8,6,4,11,3,4,11,3,0,5,23,20,49,8,15,20,8,3,15,7,0,7,0,0,0,0,0,0,3689,3992,7680
POA2602,386,190,182,376,176,184,366,169,175,338,172,180,353,894,929,1824,180,188,372,162,193,350,165,173,332,140,159,299,143,159,299,792,868,1657,132,158,294,133,126,256,138,131,269,109,170,286,121,110,232,637,697,1339,110,129,240,136,117,254,113,125,236,92,99,192,94,120,210,543,592,1137,86,94,178,80,96,175,76,96,172,51,82,134,75,77,157,370,440,811,228,399,619,204,302,500,105,139,247,21,54,78,0,6,10,16679,17855,34540
POA2603,146,67,74,147,75,63,140,75,69,145,70,78,147,363,367,730,67,54,115,61,61,121,63,62,128,49,75,124,55,48,102,292,306,596,53,59,106,46,45,92,49,52,107,53,37,93,44,62,109,248,258,503,37,47,89,51,51,101,44,48,92,48,44,93,63,61,123,234,262,496,48,38,84,48,33,78,27,38,61,25,26,51,31,34,66,176,174,345,91,126,211,60,100,158,34,91,122,4,36,42,0,6,6,5071,5235,10306
POA2604,143,68,75,148,79,97,174,80,83,166,78,80,160,367,421,789,74,66,141,88,78,164,70,79,152,53,79,133,45,55,102,329,358,687,64,66,130,47,54,106,43,58,107,69,58,127,47,58,102,266,294,561,54,63,120,52,56,106,55,41,89,59,58,113,53,57,114,275,270,550,36,60,92,49,38,83,23,42,64,18,29,48,17,28,41,144,193,337,117,120,241,38,100,145,25,57,86,12,29,46,0,8,3,6283,6757,13034
POA2605,171,77,70,153,71,75,144,72,59,131,78,79,158,372,380,749,72,79,157,90,73,165,61,73,133,59,72,132,59,61,116,344,364,703,36,68,106,56,52,110,57,57,117,46,67,117,48,59,111,243,307,552,59,54,107,64,47,113,52,46,101,56,53,108,50,58,115,285,258,541,30,55,91,31,47,79,44,62,100,36,57,86,52,43,96,197,261,454,169,259,431,113,165,277,68,119,182,20,59,78,0,4,8,5988,6502,12488
POA2606,135,56,48,104,52,62,119,58,53,109,51,67,118,284,309,589,68,54,119,46,53,102,46,52,96,57,34,87,45,45,91,255,240,497,35,52,88,30,51,79,47,32,86,32,55,87,35,49,83,187,243,421,35,36,76,41,37,80,35,38,75,21,37,61,36,50,82,176,196,371,30,32,68,29,36,66,27,42,72,35,45,74,35,43,80,156,199,355,117,151,268,72,78,149,32,27,57,10,7,17,0,0,0,5872,6198,12071
POA2607,196,94,101,194,86,104,196,92,97,192,91,104,202,450,519,972,111,81,197,86,98,182,74,82,162,74,77,150,76,88,164,421,424,854,73,77,146,75,66,142,63,71,127,78,66,145,56,82,142,347,351,694,73,68,141,50,67,120,58,86,146,68,87,162,76,84,157,321,400,725,58,108,165,64,85,151,61,66,125,48,84,135,52,85,138,287,430,715,247,274,519,138,162,294,50,74,124,12,10,24,0,5,5,7258,7459,14717
POA2609,12,13,8,14,13,10,21,31,4,39,13,11,17,68,36,105,5,12,23,11,5,19,5,8,10,15,4,19,18,6,27,60,37,96,10,8,20,13,14,24,4,8,13,6,0,8,0,9,10,41,46,84,0,0,0,8,0,5,0,4,4,10,6,20,10,9,21,31,23,56,3,6,6,4,3,15,9,0,13,3,4,8,0,9,9,31,18,46,15,13,30,5,3,4,4,0,4,0,0,0,0,0,0,668,467,1136
POA2611,367,166,176,340,169,137,309,165,171,337,164,188,351,840,868,1709,125,187,312,142,169,306,134,172,312,155,162,314,111,160,267,662,847,1509,129,136,265,125,122,251,132,132,262,118,122,238,131,176,306,634,686,1316,104,167,274,139,181,326,122,192,311,165,164,323,153,208,362,681,911,1594,148,133,281,130,155,281,115,144,262,83,112,197,110,112,222,584,658,1245,332,415,752,195,259,457,79,105,184,17,35,58,3,9,14,17806,18734,36535
