POA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
POA2600,12,16,9,3,5,9,35,16,9,118,8,9,10,7,6,18,36,35,22,159,8,17,20,9,12,16,51,30,11,170,0,22,12,18,21,22,33,34,16,179,0,25,12,16,14,28,37,25,19,174,0,33,29,34,38,38,64,34,14,289,0,30,65,30,22,52,53,17,8,279,4,10,82,28,48,44,37,22,10,288,0,9,55,30,38,39,40,14,3,233,0,6,104,172,136,90,61,29,9,602,0,0,7,36,52,24,21,5,3,153,0,0,12,97,109,88,38,18,8,373,12,23,53,30,37,25,38,19,12,246,240,238,502,557,587,526,616,328,151,3734,188,32,23,37,33,36,43,19,4,410,107,10,15,4,10,4,15,17,7,202,47,24,8,11,17,18,26,14,7,168,17,31,16,7,12,20,39,27,10,187,14,19,13,13,12,23,60,46,29,239,15,28,27,8,14,34,62,43,13,243
POA2601,151,128,34,5,3,4,4,5,0,323,87,93,24,6,7,3,5,6,0,225,52,102,70,17,7,3,8,4,6,275,35,61,45,6,3,9,10,0,0,161,17,50,45,11,8,3,0,5,0,145,4,52,93,14,6,12,6,3,0,193,4,46,88,22,5,6,11,3,0,181,0,19,77,26,16,17,7,6,0,160,0,5,60,12,10,13,3,0,0,114,0,10,95,43,37,25,8,3,0,220,0,0,7,16,6,4,0,0,0,43,0,0,6,19,17,16,3,0,0,70,226,219,69,28,9,9,7,0,4,562,1246,1186,800,258,156,137,87,35,8,3912,378,371,127,27,17,18,10,0,0,951,314,153,25,5,5,0,6,6,0,515,409,272,30,8,3,4,3,0,0,731,226,250,55,9,6,4,7,8,0,567,148,174,50,11,10,3,6,6,0,404,107,183,148,28,7,7,13,5,0,506
POA2602,40,170,86,58,43,84,95,91,44,717,36,195,125,72,69,110,168,134,103,1022,22,252,210,109,67,108,105,104,57,1037,18,179,159,91,71,79,119,80,35,833,12,151,212,152,114,112,134,74,30,994,7,184,328,204,114,131,133,60,20,1177,4,179,391,212,129,136,99,32,30,1208,0,87,453,238,211,157,84,28,14,1273,0,26,327,274,213,149,46,12,7,1046,0,11,459,693,639,327,71,20,7,2218,0,4,37,126,127,54,18,8,4,369,0,0,32,171,281,103,26,9,3,621,16,63,137,99,66,56,54,83,98,669,803,1764,3171,2690,2309,1798,1287,838,497,15156,668,139,192,150,131,146,78,39,27,1581,469,110,39,53,52,57,42,42,20,887,201,226,118,82,92,106,111,83,28,1048,71,303,154,102,99,144,173,152,83,1277,66,316,207,114,114,185,282,193,144,1632,53,425,369,172,111,173,176,151,83,1707
POA2603,12,8,12,6,7,28,14,24,19,133,3,23,23,11,12,17,36,34,37,183,4,13,29,13,21,17,38,27,29,196,3,30,26,23,16,27,36,25,24,212,4,25,46,22,18,40,51,25,24,249,3,44,66,38,36,34,51,23,20,318,4,43,108,43,36,53,48,24,8,369,0,32,143,54,52,57,33,14,0,383,0,7,90,55,59,41,25,19,6,307,0,4,172,171,179,127,42,15,15,718,0,6,18,40,68,36,15,4,0,186,0,0,18,110,158,123,33,8,10,466,8,6,35,18,27,22,24,19,20,181,316,265,825,666,734,670,513,301,227,4518,306,37,45,42,46,45,38,16,11,587,218,27,11,4,7,12,20,15,3,313,56,34,25,20,17,21,29,23,6,225,16,30,29,16,15,39,28,35,25,228,8,45,27,22,23,27,50,48,42,295,11,37,44,22,23,29,44,35,31,293
POA2604,8,24,16,17,17,33,32,26,15,189,7,18,32,20,23,36,52,49,40,273,5,47,45,32,17,39,52,30,19,296,11,24,40,30,16,30,41,31,6,237,3,30,79,38,36,35,42,32,15,308,0,49,102,66,42,53,59,22,0,400,0,71,179,67,45,60,36,13,0,475,0,52,239,90,57,60,31,16,5,553,0,15,169,119,76,59,31,7,0,474,0,15,337,322,204,143,37,7,4,1056,0,0,27,71,41,39,9,3,3,198,0,0,26,97,120,58,29,7,0,337,17,42,107,74,62,59,45,44,66,519,254,435,1456,1104,829,776,562,312,195,5915,229,38,52,67,57,54,42,12,9,564,131,22,13,4,20,24,26,15,0,249,53,39,19,23,21,25,32,16,4,247,11,50,24,29,30,62,55,40,18,319,15,47,50,30,39,54,85,69,45,437,18,62,76,44,32,50,82,50,30,441
POA2605,15,32,16,18,18,25,41,52,22,238,10,27,22,28,19,27,41,80,51,323,12,28,22,26,23,36,40,51,39,276,3,37,43,29,20,37,46,53,27,298,5,23,46,53,36,50,48,42,24,331,4,42,56,67,54,57,67,47,27,414,4,26,69,55,51,63,50,28,21,360,0,4,78,93,69,58,49,14,3,374,0,12,74,91,65,52,27,4,3,324,0,3,111,231,233,143,35,16,3,773,0,0,16,58,54,30,9,7,3,170,0,0,13,105,136,64,13,5,4,344,8,5,26,32,30,22,30,38,78,286,379,307,642,943,872,740,567,519,352,5310,284,54,45,53,67,44,50,25,16,639,208,27,18,13,15,15,22,22,7,354,76,58,20,20,13,36,43,42,30,343,27,68,33,19,34,36,56,80,39,390,15,43,41,44,35,51,72,112,67,486,21,56,56,39,37,64,68,90,49,472
POA2606,12,37,33,23,17,11,28,32,14,210,7,27,38,21,18,20,37,45,21,235,10,41,74,33,19,22,34,39,16,297,0,39,105,42,23,33,36,45,19,341,4,58,147,52,41,45,39,32,13,426,3,72,172,79,48,50,41,25,7,496,3,73,229,83,56,48,32,18,10,543,0,38,237,102,70,45,30,5,3,539,0,12,146,81,61,43,12,11,0,374,0,6,211,203,171,90,20,8,0,721,0,0,18,41,44,20,5,0,0,121,0,0,19,39,65,31,12,4,0,163,10,28,66,28,29,19,24,13,11,224,237,475,1592,873,719,545,441,354,116,5348,197,60,97,51,56,63,62,37,4,630,92,24,10,18,6,16,23,19,5,216,55,31,29,23,23,22,33,36,3,262,20,56,65,43,28,32,49,57,25,368,17,55,61,40,39,37,66,68,31,416,23,81,126,59,46,46,50,56,25,516
POA2607,27,33,22,19,22,37,53,62,16,284,8,41,30,25,29,40,72,112,46,396,12,35,49,36,40,45,79,74,27,407,10,36,41,38,25,48,55,64,31,361,7,48,81,57,34,57,79,81,27,477,3,52,99,80,77,92,98,52,12,563,5,36,100,87,52,59,46,32,14,425,0,27,109,93,87,89,39,19,8,476,0,3,84,92,127,76,32,14,7,437,0,0,100,239,275,173,42,19,4,852,0,3,13,49,41,30,0,0,4,147,0,0,13,88,99,63,4,8,4,278,14,19,33,29,28,27,32,36,27,238,354,399,823,1016,1012,950,748,702,254,6249,356,54,48,67,55,92,63,50,19,802,195,25,18,19,27,33,47,33,11,400,95,75,34,23,22,26,47,65,19,402,51,61,39,29,38,49,86,108,36,490,20,59,49,38,47,60,122,162,72,633,32,73,90,57,56,60,125,114,47,657
POA2609,0,3,0,0,0,0,10,5,0,22,3,0,4,0,3,6,7,7,0,33,0,0,6,4,3,4,11,8,3,42,0,5,0,0,7,4,3,0,0,21,0,6,0,0,3,0,4,4,0,30,0,6,3,0,6,3,0,3,0,28,0,4,5,4,9,0,4,0,0,23,0,0,5,8,5,0,0,0,0,17,0,0,3,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,11,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,11,9,16,20,8,13,25,13,10,0,102,28,44,58,48,58,70,71,31,3,412,9,5,7,0,4,9,8,0,0,35,6,0,0,0,0,4,4,0,0,13,6,4,9,7,4,8,6,4,0,39,5,3,9,5,8,10,17,9,0,69,3,4,3,8,8,17,15,13,0,74,3,5,6,7,3,14,23,13,4,75
POA2611,38,63,64,41,40,72,147,117,36,630,38,74,76,66,51,86,173,180,80,827,25,78,134,106,80,95,157,156,63,890,20,94,139,95,101,81,170,99,38,839,14,113,234,172,119,114,149,111,31,1056,11,123,302,233,163,145,139,75,21,1210,0,123,367,244,203,122,92,37,14,1208,4,71,435,322,209,154,71,35,10,1307,0,19,319,323,237,142,53,19,3,1123,0,13,476,828,599,268,48,11,8,2261,0,0,37,120,108,48,10,4,0,326,0,0,28,147,162,75,18,3,0,436,33,43,124,106,73,69,89,81,75,698,916,973,2943,3083,2331,1712,1601,1078,412,15039,795,109,163,227,152,202,160,76,18,1906,469,77,57,45,56,51,95,53,10,923,226,127,80,75,72,87,134,102,25,940,79,114,113,72,69,118,213,221,69,1066,72,112,134,110,96,128,266,251,119,1293,73,166,216,150,120,129,253,215,89,1413
