POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2600,180,1513,1272,270,140,3373,19,3392
POA2601,420,1057,274,29,0,1779,17,1799
POA2602,1139,6223,4504,1194,507,13570,118,13683
POA2603,255,1731,1498,392,218,4090,31,4119
POA2604,378,3123,1777,328,100,5703,41,5745
POA2605,239,1610,1845,464,229,4384,30,4411
POA2606,472,2750,1536,356,178,5289,56,5347
POA2607,264,2059,2159,662,363,5503,63,5570
POA2609,33,181,102,26,19,363,6,371
POA2611,518,4932,5788,1433,700,13360,102,13463
POA2612,1129,4369,1997,456,176,8123,67,8191
POA2614,428,3193,2913,805,428,7767,61,7830
POA2615,651,5729,7253,2247,1137,17015,146,17164
POA2617,953,6158,5149,1406,716,14376,143,14514
POA2618,0,59,155,110,110,429,6,434
POA2900,180,1209,574,88,38,2082,30,2107
POA2902,225,1935,2404,796,429,5789,59,5852
POA2903,139,1100,1488,498,252,3472,27,3505
POA2904,171,1328,2130,737,355,4724,37,4757
POA2905,321,3108,4235,1653,899,10217,93,10307
POA2906,193,1907,2650,981,614,6339,58,6393
POA2911,40,567,840,148,75,1675,16,1689
POA2912,237,1496,1070,255,124,3184,41,3225
POA2913,437,4825,5885,1665,866,13681,125,13809
POA2914,263,3266,5208,1353,665,10763,97,10857
