POA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2600,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,49,0,0,0,0,47,0,18,0,0,0,0,20,0,4,0,4,0,0,7,3,8,0,9,0,0,19,21,9,0,7,0,0,41,59,3,4,25,5,0,92,190,0,5,55,5,0,256,126,3,0,38,3,0,167,100,0,0,12,0,0,115,66,0,0,12,0,0,77,28,0,0,4,0,0,33,65,0,0,17,0,0,79,4,3,0,3,3,0,19,661,106,10,187,27,0,986
POA2601,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,4,0,19,12,0,0,15,0,0,30,69,0,0,32,0,0,105,305,0,0,51,5,0,357,230,0,0,52,0,0,279,142,0,0,31,3,0,173,39,0,0,9,0,0,48,20,0,0,6,0,0,22,24,0,0,8,0,0,28,15,0,0,0,4,7,18,863,4,7,213,15,4,1110
POA2602,0,67,3,3,8,0,78,0,54,3,0,0,0,64,3,503,15,22,0,0,542,15,121,16,34,11,0,189,13,65,11,38,5,0,130,18,73,13,50,18,0,178,188,69,28,126,36,0,444,596,42,24,266,45,6,977,632,37,6,223,27,0,926,504,10,4,193,15,0,726,269,0,0,91,5,0,372,142,0,0,52,5,0,195,52,0,0,11,0,0,68,80,0,0,26,0,0,107,19,55,4,43,10,14,144,2521,1106,126,1175,185,27,5133
POA2603,0,8,0,0,0,0,8,0,9,0,0,0,0,15,0,71,0,3,0,0,75,0,10,0,5,0,0,11,6,8,0,6,0,0,15,16,0,0,7,15,0,38,31,7,0,15,3,0,63,225,9,0,58,7,0,299,283,0,0,62,5,0,353,189,0,0,26,3,0,218,89,0,0,17,0,0,102,38,0,0,13,0,0,50,26,0,0,3,0,0,35,69,0,0,9,0,0,77,11,0,4,17,4,0,35,983,135,7,232,43,4,1399
POA2604,0,11,0,4,0,0,22,0,18,0,0,0,0,25,0,115,4,8,0,0,120,0,42,23,3,0,0,77,0,22,15,9,0,0,45,6,20,8,8,10,0,52,28,25,3,24,4,0,85,229,14,5,86,11,3,339,652,15,3,117,18,0,801,403,5,0,82,6,0,492,175,0,0,40,0,0,218,73,0,0,18,0,0,87,42,0,0,5,0,0,47,66,0,0,7,0,0,74,19,15,9,12,7,8,63,1695,295,65,424,63,13,2555
POA2605,0,6,0,3,0,0,8,0,4,0,0,0,0,7,0,78,5,5,0,3,89,0,32,0,6,0,0,40,4,14,0,3,0,0,23,17,8,0,11,4,0,35,73,17,0,21,7,0,117,112,0,0,35,9,0,158,125,8,0,48,4,0,181,173,3,0,43,4,0,221,86,3,0,11,0,0,102,34,0,0,9,0,0,45,21,0,0,5,0,0,26,26,0,0,7,0,0,33,9,15,0,11,4,0,37,680,191,10,218,31,7,1134
POA2606,0,15,0,0,0,0,20,0,10,0,0,0,0,13,7,74,0,4,0,0,86,3,27,0,10,0,0,53,6,12,0,9,0,0,31,24,16,0,24,8,0,77,140,12,0,54,10,0,217,486,8,3,159,29,0,691,413,3,0,106,14,0,539,226,0,0,54,3,0,288,68,0,0,14,0,0,83,34,0,0,7,0,0,43,12,0,0,3,0,0,15,19,0,0,3,0,0,25,22,16,0,15,10,3,67,1461,199,17,473,80,3,2242
POA2607,0,4,0,0,0,0,8,0,18,14,0,0,0,27,0,113,9,9,0,0,133,6,41,8,5,0,0,58,0,10,0,12,0,0,19,0,10,0,18,5,0,40,64,16,3,27,3,0,110,182,18,0,49,11,0,259,198,17,0,72,7,0,291,111,0,0,29,3,0,149,71,0,0,27,5,0,105,34,0,0,11,0,0,41,19,0,0,5,0,0,25,24,0,0,0,0,0,22,13,14,0,7,0,3,49,730,256,38,280,44,9,1345
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,12,0,0,0,4,9,0,15,0,0,0,0,11,0,10,0,0,0,3,5,0,16,0,10,0,0,15,0,33,12,4,0,9,22,0,44,3,0,0,11,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,6,20,19,0,38,66,0,145
POA2611,0,36,0,4,0,0,37,0,54,3,0,0,0,60,0,283,10,13,0,0,310,4,102,20,13,4,5,136,0,48,5,12,6,0,72,28,62,3,26,31,0,149,61,46,4,52,20,0,177,279,55,13,108,42,0,495,487,26,6,134,19,4,676,356,8,0,90,11,0,470,129,3,0,37,6,0,174,67,4,0,14,0,0,86,20,0,0,6,0,0,27,27,0,0,8,0,0,36,17,41,3,21,9,9,112,1475,769,57,538,155,14,3005
POA2612,0,32,4,3,8,0,43,0,23,15,0,0,5,47,0,182,14,9,3,0,214,5,37,15,14,4,0,63,6,22,10,20,0,0,59,25,31,0,48,82,0,188,80,23,4,60,54,3,217,480,17,0,163,25,0,696,972,0,7,190,25,0,1192,590,0,3,122,14,0,737,296,0,0,60,6,0,366,126,0,0,50,3,0,175,71,0,0,20,4,0,94,78,0,0,27,3,0,101,22,15,7,23,19,3,89,2760,384,68,811,249,15,4281
POA2614,0,20,0,4,0,0,27,0,36,0,0,0,0,36,0,160,5,6,4,0,174,9,63,5,14,0,0,92,5,29,3,13,5,0,56,16,26,0,30,0,0,77,87,21,3,66,15,0,189,308,18,5,128,11,0,478,292,11,0,141,19,0,468,154,0,0,64,4,0,227,58,0,0,34,0,0,88,30,0,0,9,0,0,40,5,0,0,0,0,0,10,11,0,0,6,3,0,14,19,31,4,24,4,5,86,983,418,32,545,63,13,2060
POA2615,0,48,0,8,0,0,53,0,51,0,4,0,0,50,0,404,4,18,0,0,439,10,204,9,33,5,0,267,3,77,11,26,0,0,118,12,79,19,37,23,0,172,40,85,24,87,9,0,246,341,133,10,229,25,0,739,680,26,0,252,23,0,975,338,5,0,93,17,3,463,70,0,0,27,0,0,104,14,3,0,6,5,0,27,3,0,0,0,4,0,7,13,0,0,3,0,0,22,24,75,7,38,11,18,172,1556,1190,94,857,130,18,3849
POA2617,0,40,0,4,0,0,44,0,39,0,0,0,0,43,11,208,6,24,0,0,249,11,79,14,49,3,0,166,11,47,3,46,6,0,117,39,44,13,56,29,0,181,92,36,18,109,21,0,272,1272,60,25,362,95,0,1811,1240,19,5,312,51,4,1635,590,0,0,162,25,0,783,202,0,0,50,8,0,263,54,0,0,21,7,0,78,19,0,0,9,0,0,25,18,0,0,13,0,0,31,44,28,3,60,16,11,163,3606,599,90,1276,268,21,5860
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,0,0,0,4,0,0,10,0,0,0,6,0,0,10,4,0,0,5,0,0,5,14,0,0,5,0,0,12,5,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,29,6,0,37,0,0,73
POA2900,0,10,0,0,0,0,10,0,4,0,0,0,0,4,0,35,0,3,0,0,38,0,7,0,5,0,0,12,4,4,0,4,0,0,13,6,0,0,6,0,0,11,3,5,4,10,0,0,21,209,3,0,60,0,0,279,224,0,0,45,0,0,268,82,0,0,9,0,0,94,27,0,0,4,0,0,29,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,7,0,6,0,0,18,576,72,8,149,10,5,813
POA2902,0,22,0,4,0,0,19,0,25,0,0,0,0,27,0,161,4,6,0,0,171,3,78,11,3,3,0,96,3,47,0,5,0,0,56,4,40,4,7,0,0,61,8,23,0,25,0,0,65,88,45,0,78,6,0,223,169,20,0,57,6,0,248,92,0,0,31,4,0,129,39,0,0,7,0,0,50,12,0,0,0,0,0,16,3,0,0,0,0,0,10,3,0,0,0,0,0,3,7,38,6,17,0,4,73,436,496,31,236,33,9,1234
POA2903,0,17,0,0,0,0,12,0,9,0,0,0,0,9,0,99,0,3,0,0,105,0,45,4,9,0,0,57,0,23,0,7,0,0,34,4,27,3,0,0,0,32,11,15,5,15,0,0,45,52,27,0,40,3,0,118,99,7,0,50,6,0,158,70,0,0,24,0,0,98,19,0,0,3,0,0,29,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,11,0,0,34,271,285,19,160,7,0,746
POA2904,0,6,0,0,0,0,7,0,14,0,0,0,0,13,0,58,4,3,0,0,63,0,23,0,3,0,0,25,0,14,0,6,0,0,23,3,17,0,8,7,0,31,9,11,0,11,0,0,26,41,13,0,38,0,0,93,112,6,0,59,0,0,179,92,0,0,29,0,4,125,30,0,0,13,0,0,45,14,0,0,0,0,0,13,9,0,0,0,0,0,7,0,0,0,0,0,0,8,5,11,5,7,3,0,25,308,172,11,186,10,4,691
POA2905,0,21,0,0,0,0,23,0,32,0,0,0,0,36,0,218,8,5,0,0,227,6,69,3,15,4,0,94,5,56,3,11,4,0,73,5,56,0,21,0,0,77,10,60,0,32,7,0,114,211,65,3,167,21,0,463,368,26,0,179,20,0,597,179,4,0,69,0,0,252,38,0,0,12,0,0,46,16,0,0,7,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,33,0,25,11,4,87,853,636,22,542,61,3,2122
POA2906,0,6,0,0,0,0,8,0,10,0,0,0,0,13,0,106,5,3,4,0,117,3,54,18,5,0,0,81,0,30,4,6,0,0,39,3,28,8,9,12,0,59,5,24,0,13,22,0,73,136,30,4,98,17,0,289,218,10,0,70,8,0,309,72,0,0,23,3,0,101,19,0,0,8,0,0,28,4,0,0,3,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,11,8,4,18,5,6,41,492,306,47,255,71,8,1177
POA2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,4,0,0,69,0,80,6,3,28,0,24,0,68,58,0,13,15,4,0,100,81,0,0,24,8,0,105,75,0,0,18,5,0,93,53,0,0,5,3,0,55,14,0,0,6,0,0,21,3,0,0,3,0,0,6,4,0,0,3,0,0,4,5,0,0,5,0,0,19,296,21,48,90,114,5,571
POA2912,0,13,0,0,0,0,17,0,6,0,0,0,0,6,0,27,4,3,0,0,43,9,13,5,8,4,0,39,0,8,0,8,0,0,18,11,10,9,10,28,0,78,46,3,0,31,41,0,120,358,3,0,70,45,0,485,337,0,5,70,20,0,433,230,0,0,40,16,0,284,67,0,0,31,7,0,106,8,0,0,5,0,0,14,3,0,0,0,0,0,0,7,0,0,4,0,0,13,13,9,0,9,3,0,32,1096,105,29,292,165,6,1695
POA2913,0,26,0,5,0,0,30,0,23,0,0,0,0,23,4,154,4,9,4,0,176,4,65,7,21,9,0,104,7,42,0,20,9,0,75,12,39,0,32,78,0,170,26,34,11,60,73,0,206,538,45,8,207,77,0,881,936,11,0,227,37,0,1215,453,0,0,111,31,0,601,209,0,0,34,8,0,256,48,0,0,19,0,0,68,15,0,0,6,0,0,26,18,0,0,3,0,0,26,36,23,3,42,20,10,128,2310,461,41,807,343,16,3977
POA2914,0,12,0,0,0,0,14,0,15,0,0,0,0,20,4,102,0,0,0,0,108,3,63,13,22,6,0,108,0,18,0,12,5,0,43,27,24,12,17,81,0,155,52,35,32,29,172,0,326,345,20,63,102,114,0,646,573,11,9,114,27,0,727,544,7,4,115,29,0,704,275,0,5,59,17,0,356,85,0,0,18,9,0,113,20,0,0,9,0,0,25,16,0,0,6,0,0,21,32,23,0,12,15,5,92,1972,329,140,517,479,10,3452
