POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2600,3370,3734,7110,1639,1309,2950,431,689,1119,96,131,228,65,44,103,2232,2175,4407,927,1345,2267,2.8,1.9,2.4,66.2,58.2,62,64.3,57.1,60.5,836,738,1575,168,246,414,1034,1167,2205,223,348,571,191,112,304,8,17,26,28,53,81,225,188,419,2915,3244,6159,733,823,1559,1749,1985,3739,1771,1951,3725
POA2601,3619,3912,7527,1050,817,1873,835,1247,2083,142,187,334,262,256,517,2296,2510,4806,858,846,1699,11.5,10.1,10.8,63.4,64.2,63.8,56.1,57.7,57,545,548,1097,85,84,168,826,732,1566,123,118,250,137,103,240,20,23,42,10,11,27,167,139,307,1559,1518,3076,1652,1901,3560,341,266,605,2840,3124,5961
POA2602,13720,15156,28876,6616,5584,12197,2436,3870,6309,393,613,1006,421,322,739,9862,10396,20250,3287,4218,7504,4.2,3.1,3.7,71.9,68.6,70.1,68.8,66.5,67.6,2866,3082,5955,666,1063,1729,3803,4498,8301,833,1062,1894,1242,683,1925,80,107,188,105,205,316,1433,996,2426,12276,13236,25508,3602,3914,7510,7210,7899,15113,7910,8537,16451
POA2603,4302,4518,8817,2293,1803,4102,617,921,1542,116,161,278,108,82,192,3140,2974,6111,1021,1392,2413,3.4,2.9,3.2,72.9,65.8,69.3,70.4,63.9,67.1,1022,884,1902,208,323,533,1303,1472,2775,250,363,616,301,148,451,16,32,47,37,63,94,351,245,593,3761,3900,7658,1103,1112,2217,2107,2197,4309,2612,2668,5286
POA2604,5412,5915,11329,2975,2617,5593,645,1016,1657,147,242,388,108,118,226,3872,3988,7861,1066,1445,2516,2.8,3,2.9,71.6,67.4,69.4,69.6,65.4,67.4,1131,1156,2286,252,436,688,1548,1796,3347,374,456,829,478,261,733,16,45,57,27,70,96,517,372,894,4163,4497,8661,1584,1720,3304,1902,2131,4031,3605,3817,7426
POA2605,4724,5310,10034,2229,1723,3954,686,1170,1859,130,196,333,115,107,222,3167,3199,6365,1383,1921,3309,3.6,3.3,3.5,67,60.3,63.4,64.5,58.3,61.2,1021,906,1925,217,346,566,1368,1535,2898,338,479,815,414,242,658,23,49,74,42,95,143,487,394,878,4819,5291,10109,914,925,1842,3071,3443,6514,2403,2485,4888
POA2606,5036,5348,10386,2661,2337,5000,809,1094,1902,152,226,370,143,113,254,3760,3772,7526,1050,1387,2440,3.8,3,3.4,74.6,70.5,72.5,71.8,68.4,70,902,904,1809,209,330,544,1364,1624,2990,426,536,964,530,322,849,39,46,88,46,94,138,612,461,1076,4065,4371,8434,1473,1563,3033,2018,2141,4157,3272,3535,6802
POA2607,5847,6249,12090,2676,2056,4734,859,1374,2235,161,202,362,169,122,290,3865,3762,7620,1739,2286,4026,4.5,3.2,3.8,66.1,60.2,63,63.1,58.3,60.6,999,800,1797,253,404,655,1430,1781,3204,493,680,1171,697,364,1061,32,59,92,75,142,209,806,560,1366,5795,6091,11889,1110,1060,2169,3698,4008,7705,2875,2876,5748
POA2609,628,412,1042,229,87,318,47,75,121,13,3,18,26,19,41,312,190,499,132,122,257,7.4,9.6,8.2,49.9,45.2,48,46.2,40.8,44.1,14,17,36,16,18,28,49,45,95,24,30,54,109,35,150,7,4,14,3,4,12,126,52,175,353,292,649,119,59,177,242,192,437,216,145,367
POA2611,13903,15039,28945,7256,5608,12867,1973,3327,5308,401,673,1078,343,338,680,9979,9951,19929,3382,4529,7907,3.4,3.4,3.4,71.8,66.1,68.8,69.3,63.9,66.5,2202,2085,4288,550,934,1486,3411,4251,7662,1290,1495,2782,1841,978,2816,80,141,220,165,282,448,2084,1399,3483,13768,14669,28438,3176,3220,6395,8128,8805,16944,7798,8094,15889
