Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
800,5687,5687,73417,62810,0.9,5142,73021,66264,0.12,708,-930,-90,5687,76646,66023,5687,3211,1325,0.09,520,51150,13784,0.08,465,35410,7155,0.85,4855,20147,13974,5709,111941,22589
810,22848,22848,77358,65801,0.87,19967,77605,70121,0.17,3805,219,-272,22848,80508,68850,22848,3123,1215,0.11,2442,76477,23005,0.1,2249,51726,11697,0.83,18970,22234,15960,23897,142001,50031
812,11258,11258,72217,63421,0.87,9768,74059,68418,0.15,1721,-548,-445,11258,74832,65985,11258,2582,1035,0.08,855,72450,26346,0.07,819,48745,12252,0.83,9309,19696,15203,12494,148583,63358
820,14075,14075,86550,71138,0.88,12404,81350,73124,0.19,2640,1059,169,14075,90083,74521,14075,3473,1328,0.1,1415,69648,18482,0.09,1321,46215,10143,0.87,12190,25282,17115,15017,172009,53370
822,7431,7431,55443,41502,0.87,6480,54088,41836,0.08,627,-16,23,7431,57416,42707,7431,1818,289,0.06,418,104839,40628,0.06,412,80653,21400,0.71,5266,15175,9369,9892,63544,10095
828,1172,1172,88253,66600,0.86,1006,77436,69048,0.15,173,1192,-576,1172,91602,69778,1172,3270,1348,0.1,115,99871,32720,0.1,114,79500,14486,0.83,970,28811,16156,1220,110874,44018
829,580,580,70594,72114,0.96,558,67505,71640,0.07,38,-204,2402,580,73331,75690,580,2737,2118,0.02,11,125732,49835,0.02,9,87896,25976,0.88,510,16853,14685,582,56132,18351
830,11567,11567,73137,65957,0.9,10362,74908,69860,0.12,1430,-2678,-1984,11567,76038,68672,11567,2855,1224,0.07,817,80463,31060,0.07,785,55389,16692,0.84,9701,19620,15565,12441,116835,53055
832,12732,12732,78593,72850,0.93,11894,80300,75377,0.12,1487,-2636,-1831,12732,81775,75886,12732,3170,1634,0.07,900,60160,23696,0.07,876,39847,12722,0.88,11176,20692,16794,13000,105942,53026
834,892,892,81086,69379,0.87,774,80322,74819,0.21,187,167,16,892,84134,72260,892,3039,1043,0.08,71,227372,39077,0.08,71,199337,18955,0.85,758,22711,17364,953,153226,88321
835,2690,2690,82503,71372,0.84,2261,84108,76103,0.22,597,-781,-381,2690,86049,74616,2690,3464,1200,0.1,277,124199,47559,0.1,269,90638,25665,0.84,2267,23811,18351,3078,183623,101320
836,5481,5481,80135,70009,0.86,4707,83188,76880,0.17,945,-583,-886,5481,83219,72777,5481,3008,1181,0.09,501,104741,47750,0.09,493,79126,21832,0.85,4635,22722,17592,6005,154947,88790
837,440,440,72317,59944,0.75,329,74381,65352,0.15,67,4403,2232,440,75436,61537,440,2616,908,0.1,46,56871,34344,0.11,47,35188,14342,0.79,347,21068,14441,500,139267,74740
838,610,610,78932,69540,0.86,522,81367,74930,0.14,87,-1334,-559,610,82460,72925,610,3059,1374,0.13,77,117390,57873,0.12,75,94149,24085,0.85,521,21676,17402,658,141338,77307
839,531,531,76939,67536,0.86,459,80980,71309,0.15,82,-461,-1222,531,79601,69989,531,2558,1216,0.1,54,112077,34056,0.11,57,82703,13634,0.86,455,20767,15815,531,123219,52798
840,227,227,54343,42571,0.61,138,68950,60330,0.19,42,753,3036,227,56380,44294,227,1817,505,0.14,31,118736,51948,0.14,31,91023,19708,0.68,154,15879,10697,264,175501,104268
841,361,361,72115,62839,0.84,305,79250,69420,0.15,53,-161,-403,361,74546,64865,361,2357,1003,0.11,38,91935,62182,0.11,39,71738,34277,0.82,296,20495,15394,450,123491,63702
