interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-03-27 17:15:00+10:00,0.23683808500000003,0.05350735,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
1,2026-03-27 17:20:00+10:00,0.240658,0.056979999999999996,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
2,2026-03-27 17:25:00+10:00,0.240658,0.056979999999999996,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
3,2026-03-27 17:30:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
4,2026-03-27 17:35:00+10:00,0.23537800000000003,0.05218,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
5,2026-03-27 17:40:00+10:00,0.24074607700000003,0.057060070000000004,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
6,2026-03-27 17:45:00+10:00,0.23537800000000003,0.05218,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
7,2026-03-27 17:50:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
8,2026-03-27 17:55:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
9,2026-03-27 18:00:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
10,2026-03-27 18:05:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
11,2026-03-27 18:10:00+10:00,0.24949107700000003,0.06501007,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
12,2026-03-27 18:15:00+10:00,0.24594411600000002,0.061785559999999996,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
13,2026-03-27 18:20:00+10:00,0.24949114300000003,0.06501013,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
14,2026-03-27 18:25:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,24.324326,-0.05459166666666666
15,2026-03-27 18:30:00+10:00,0.24958078200000003,0.06509162,0.0,0.0,0.0,0.0,0.0,0.0,24.324326,0.0
16,2026-03-27 18:35:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,23.426652,-0.05459166666666666
17,2026-03-27 18:40:00+10:00,0.24949107700000003,0.06501007,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
18,2026-03-27 18:45:00+10:00,0.24636165400000004,0.06216514,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
19,2026-03-27 18:50:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
20,2026-03-27 18:55:00+10:00,0.24949107700000003,0.06501007,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
21,2026-03-27 19:00:00+10:00,0.24949107700000003,0.06501007,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
22,2026-03-27 19:05:00+10:00,0.249679947,0.06518177,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
23,2026-03-27 19:10:00+10:00,0.24949114300000003,0.06501013,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
24,2026-03-27 19:15:00+10:00,0.24820434100000002,0.06384031,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
25,2026-03-27 19:20:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
26,2026-03-27 19:25:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
27,2026-03-27 19:30:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
28,2026-03-27 19:35:00+10:00,0.24519000000000002,0.0611,0.0,0.0,0.0,0.0,0.0,0.0,23.426652,0.0
29,2026-03-27 19:40:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,22.528979,-0.05459166666666666
30,2026-03-27 19:45:00+10:00,0.24691335900000003,0.06266669,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
31,2026-03-27 19:50:00+10:00,0.24721893900000005,0.06294449,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
32,2026-03-27 19:55:00+10:00,0.24726721800000004,0.06298838,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
33,2026-03-27 20:00:00+10:00,0.24859050700000004,0.06419137000000001,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
34,2026-03-27 20:05:00+10:00,0.24949114300000003,0.06501013,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
35,2026-03-27 20:10:00+10:00,0.2474791,0.063181,0.0,0.0,0.0,0.0,0.0,0.0,22.528979,0.0
36,2026-03-27 20:15:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,21.631305,-0.05459166666666666
37,2026-03-27 20:20:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,20.733631,-0.05459166666666666
38,2026-03-27 20:25:00+10:00,0.250041,0.06551,0.0,10.0,0.0,0.0,0.0,10.0,19.835957,-0.05459166666666666
