interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-03-04 17:30:00+10:00,0.10890000000000001,0.099,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
1,2026-03-04 17:35:00+10:00,0.10880419000000001,0.0989129,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
2,2026-03-04 17:40:00+10:00,0.10890000000000001,0.099,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
3,2026-03-04 17:45:00+10:00,0.10890000000000001,0.099,0.0,0.0,0.0,0.0,0.0,0.0,25.222,0.0
4,2026-03-04 17:50:00+10:00,0.11002200000000001,0.10002,1.1004584,0.0,1.229783440972177,0.129325,0.0,0.0,25.222,0.0100895528404
5,2026-03-04 17:55:00+10:00,0.11002200000000001,0.10002,0.8947671,0.0,0.9992954371574571,0.10452833,0.0,0.0,25.222,0.008203672156350001
6,2026-03-04 18:00:00+10:00,0.1155,0.105,0.87157918,0.0,1.0156858462821414,0.14410667,0.0,0.0,25.222,0.0083889496075
7,2026-03-04 18:05:00+10:00,0.11282054300000001,0.10256413,0.27173318,0.0,0.43130985184074677,0.15957667,0.0,0.0,25.222,0.0025547570765597286
8,2026-03-04 18:10:00+10:00,0.114546751,0.10413341,0.16001708,0.0,0.30965541794822005,0.14963833,0.0,0.0,25.222,0.0015274530515422566
9,2026-03-04 18:15:00+10:00,0.11526080500000001,0.10478255,0.22631547,0.0,0.3137238003623983,0.087408334,0.0,0.0,25.222,0.0021737752713461124
10,2026-03-04 18:20:00+10:00,0.117429565,0.10675414999999999,0.0,0.0,0.3405910152856571,0.008645,0.0,0.33194602,25.192202,0.0
11,2026-03-04 18:25:00+10:00,0.118990487,0.10817317,0.0,0.0,0.3431853155395948,0.0026666667,0.0,0.34051865,25.161635,0.0
12,2026-03-04 18:30:00+10:00,0.120351,0.10941,0.0,0.0,0.3490570663947923,0.0029833334,0.0,0.34607373,25.130568,0.0
13,2026-03-04 18:35:00+10:00,0.119974349,0.10906758999999999,0.0,0.0,0.355083815920904,0.0012433334,0.0,0.35384048,25.098805,0.0
14,2026-03-04 18:40:00+10:00,0.117224492,0.10656771999999999,0.0,0.0,0.3655332665541187,0.001,0.0,0.36453327,25.066082,0.0
15,2026-03-04 18:45:00+10:00,0.12705838200000003,0.11550762,0.0,1.2994291,0.3551865015258454,0.00070500003,0.0,1.6539106,24.917615,-0.0125078302249785
16,2026-03-04 18:50:00+10:00,0.116130828,0.10557348,0.0,0.0,0.3547244331019469,0.00072333337,0.0,0.3540011,24.885837,0.0
17,2026-03-04 18:55:00+10:00,0.11647900000000001,0.10589,0.0,0.0,0.38072904806778146,0.00073000003,0.0,0.37999905,24.851725,0.0
18,2026-03-04 19:00:00+10:00,0.11579264400000001,0.10526604,0.0,0.0,0.4579088319436414,0.00037166668,0.0,0.45753717,24.810654,0.0
19,2026-03-04 19:05:00+10:00,0.12784204400000002,0.11622004,0.0,9.6049627,0.3950372829039892,0.0,0.0,10.0,23.91298,-0.09302409576604233
20,2026-03-04 19:10:00+10:00,0.12074440400000001,0.10976764,0.0,0.0,0.38152751640727117,0.0,0.0,0.38152752,23.878731,0.0
21,2026-03-04 19:15:00+10:00,0.121406714,0.11036974,0.0,0.0,0.3665741820509235,0.0,0.0,0.36657418,23.845825,0.0
22,2026-03-04 19:20:00+10:00,0.11883421,0.10803109999999999,0.0,0.0,0.35929210126399996,0.0,0.0,0.3592921,23.813572,0.0
23,2026-03-04 19:25:00+10:00,0.12063620800000001,0.10966928,0.0,0.0,0.34267790064215664,0.0,0.0,0.3426779,23.782811,0.0
24,2026-03-04 19:30:00+10:00,0.11908141300000001,0.10825583,0.0,0.0,0.33764629993587736,0.0,0.0,0.3376463,23.752501,0.0
25,2026-03-04 19:35:00+10:00,0.11865278700000001,0.10786617,0.0,0.0,0.34033199910074474,0.0,0.0,0.340332,23.72195,0.0
26,2026-03-04 19:40:00+10:00,0.121197318,0.11017938,0.0,0.0,0.352781918036441,0.0,0.0,0.35278192,23.690282,0.0
27,2026-03-04 19:45:00+10:00,0.11647902200000002,0.10589002,0.0,0.0,0.3401863005757332,0.0,0.0,0.3401863,23.659744,0.0
28,2026-03-04 19:50:00+10:00,0.11906957700000001,0.10824507,0.0,0.0,0.3383308667441209,0.0,0.0,0.33833087,23.629373,0.0
29,2026-03-04 19:55:00+10:00,0.10890000000000001,0.099,0.33729197,0.0,0.3372919670244058,0.0,0.0,0.0,23.629373,0.00306092462775
30,2026-03-04 20:00:00+10:00,0.10890000000000001,0.099,0.3377417,0.0,0.33774169934292636,0.0,0.0,0.0,23.629373,0.0030650059275
31,2026-03-04 20:05:00+10:00,0.124009512,0.11273591999999999,0.0,0.0,0.3367275336012244,0.0,0.0,0.33672753,23.599146,0.0
32,2026-03-04 20:10:00+10:00,0.1155,0.105,0.3393195,0.0,0.33931950045128667,0.0,0.0,0.0,23.599146,0.0032659501875
33,2026-03-04 20:15:00+10:00,0.11753500000000001,0.10685,0.0,0.0,0.33922570160279675,0.0,0.0,0.3392257,23.568695,0.0
34,2026-03-04 20:20:00+10:00,0.116369011,0.10579000999999999,0.0,0.0,0.2933061494554082,0.0,0.0,0.29330615,23.542365,0.0
35,2026-03-04 20:25:00+10:00,0.10890000000000001,0.099,0.27072768,0.0,0.2707276848951976,0.0,0.0,0.0,23.542365,0.0024568536960000004
36,2026-03-04 20:30:00+10:00,0.10890000000000001,0.099,0.26238503,0.0,0.2623850331579646,0.0,0.0,0.0,23.542365,0.0023811441472500004
37,2026-03-04 20:35:00+10:00,0.10890000000000001,0.099,0.24686158,0.0,0.24686158327741853,0.0,0.0,0.0,23.542365,0.0022402688385
38,2026-03-04 20:40:00+10:00,0.11537900000000001,0.10489,0.19841133,0.0,0.1984113335304331,0.0,0.0,0.0,23.542365,0.0019077084036725
39,2026-03-04 20:45:00+10:00,0.10890000000000001,0.099,0.19397765,0.0,0.19397764995724476,0.0,0.0,0.0,23.542365,0.0017603471737500003
40,2026-03-04 20:50:00+10:00,0.10890000000000001,0.099,0.21997058,0.0,0.21997058390225752,0.0,0.0,0.0,23.542365,0.0019962330134999998
41,2026-03-04 20:55:00+10:00,0.098485002,0.08953182,0.27466265,0.0,0.2746626504839969,0.0,0.0,0.0,23.542365,0.002254179302881275
42,2026-03-04 21:00:00+10:00,0.10890000000000001,0.099,0.35156353,0.0,0.35156353428959847,0.0,0.0,0.0,23.542365,0.0031904390347500004
43,2026-03-04 21:05:00+10:00,0.11636900000000001,0.10579000000000001,0.0,0.0,0.3544065832843384,0.0,0.0,0.35440658,23.510551,0.0
44,2026-03-04 21:10:00+10:00,0.11753500000000001,0.10685,0.0,0.0,0.3563567310571671,0.0,0.0,0.35635673,23.478562,0.0
45,2026-03-04 21:15:00+10:00,0.1155,0.105,0.34800998,0.0,0.3480099840462208,0.0,0.0,0.0,23.478562,0.0033495960575
46,2026-03-04 21:20:00+10:00,0.11537900000000001,0.10489,0.16187217,0.0,0.1618721665604221,0.0,0.0,0.0,23.478562,0.0015563874252025002
47,2026-03-04 21:25:00+10:00,0.11537900000000001,0.10489,0.23629382,0.0,0.23629381672786387,0.0,0.0,0.0,23.478562,0.0022719453881483334
48,2026-03-04 21:30:00+10:00,0.11636900000000001,0.10579000000000001,0.0,0.0,0.23031273242862427,0.0,0.0,0.23031273,23.457888,0.0
49,2026-03-04 21:35:00+10:00,0.11881100000000001,0.10801000000000001,0.0,0.0,0.22862935034645943,0.0,0.0,0.22862935,23.437364,0.0
50,2026-03-04 21:40:00+10:00,0.11881100000000001,0.10801000000000001,0.0,0.0,0.21709096740625683,0.0,0.0,0.21709097,23.417876,0.0
51,2026-03-04 21:45:00+10:00,0.1155,0.105,0.19455567,0.0,0.19455566637279995,0.0,0.0,0.0,23.417876,0.00187259832375
52,2026-03-04 21:50:00+10:00,0.12465228600000001,0.11332026,0.0,0.0,0.20370319992512725,0.0,0.0,0.2037032,23.399591,0.0
53,2026-03-04 21:55:00+10:00,0.123035132,0.11185012,0.0,0.0,0.18488705112036768,0.0,0.0,0.18488705,23.382994,0.0
54,2026-03-04 22:00:00+10:00,0.10890000000000001,0.099,0.1990447,0.0,0.1990446981412803,0.0,0.0,0.0,23.382994,0.0018063306524999999
55,2026-03-04 22:05:00+10:00,0.11881100000000001,0.10801000000000001,0.0,0.0,0.19180250024893666,0.0,0.0,0.1918025,23.365776,0.0
56,2026-03-04 22:10:00+10:00,0.116369022,0.10579002,0.0,0.0,0.2034793994667325,0.0,0.0,0.2034794,23.34751,0.0
57,2026-03-04 22:15:00+10:00,0.109619565,0.09965415,0.1907339,0.0,0.19073390125405396,0.0,0.0,0.0,23.34751,0.001742347262396125
58,2026-03-04 22:20:00+10:00,0.10890000000000001,0.099,0.18362495,0.0,0.18362494893717518,0.0,0.0,0.0,23.34751,0.00166639642125
59,2026-03-04 22:25:00+10:00,0.112655081,0.10241370999999999,0.18324733,0.0,0.1832473335517034,0.0,0.0,0.0,23.34751,0.0017203119003486444
60,2026-03-04 22:30:00+10:00,0.10890000000000001,0.099,0.18191957,0.0,0.1819195660641602,0.0,0.0,0.0,23.34751,0.00165092009775
61,2026-03-04 22:35:00+10:00,0.11537900000000001,0.10489,0.18906537,0.0,0.18906536642179317,0.0,0.0,0.0,23.34751,0.0018178477771025
62,2026-03-04 22:40:00+10:00,0.1155,0.105,0.19443748,0.0,0.19443748257825216,0.0,0.0,0.0,23.34751,0.0018714607449999998
63,2026-03-04 22:45:00+10:00,0.10617646600000002,0.09652406000000001,0.19831287,0.0,0.19831286646637486,0.0,0.0,0.0,23.34751,0.0017546799749097854
64,2026-03-04 22:50:00+10:00,0.10523339200000001,0.09566672,0.18763325,0.0,0.1876332507181208,0.0,0.0,0.0,23.34751,0.0016454402791236669
65,2026-03-04 22:55:00+10:00,0.09455002700000002,0.08595457000000001,0.20128445,0.0,0.2012844486355486,0.0,0.0,0.0,23.34751,0.0015859541818483462
66,2026-03-04 23:00:00+10:00,0.096162781,0.08742071,0.19294117,0.0,0.19294116613418436,0.0,0.0,0.0,23.34751,0.001546146623049481
67,2026-03-04 23:05:00+10:00,0.09421500000000001,0.08565,10.192372,0.0,0.19237233440892398,0.0,10.0,0.0,24.08225,0.080022860665
68,2026-03-04 23:10:00+10:00,0.09844879000000001,0.0894989,0.18531666,0.0,0.18531666477221734,0.0,0.0,0.0,24.08225,0.0015203500786534498
69,2026-03-04 23:15:00+10:00,0.10970966600000001,0.09973606,0.087035133,0.0,0.0870351330262489,0.0,0.0,0.0,24.08225,0.0007957162809746315
70,2026-03-04 23:20:00+10:00,0.098478512,0.08952592,0.071744517,0.0,0.07174451723694802,0.0,0.0,0.0,24.08225,0.0005887744398598919
71,2026-03-04 23:25:00+10:00,0.09684057900000001,0.08803689,0.16350603,0.0,0.163506032476054,0.0,0.0,0.0,24.08225,0.0013195015512659477
72,2026-03-04 23:30:00+10:00,0.099266376,0.09024216,0.14349427,0.0,0.14349426663411274,0.0,0.0,0.0,24.08225,0.00118701301330546
