interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-02-26 15:10:00+10:00,0.08669288100000001,0.02211171,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
1,2026-02-26 15:15:00+10:00,0.08807822100000001,0.02337111,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
2,2026-02-26 15:20:00+10:00,0.063060712,0.00062792,10.0,0.0,0.0,0.0,10.0,0.0,24.688074,0.05255059333333334
3,2026-02-26 15:25:00+10:00,0.08692965600000002,0.02232696,0.0,0.0,0.0,0.0,0.0,0.0,24.688074,0.0
4,2026-02-26 15:30:00+10:00,0.10176569700000002,0.03581427,0.0,0.0,0.0,0.0,0.0,0.0,24.688074,0.0
5,2026-02-26 15:35:00+10:00,0.10404900000000002,0.03789,0.0,0.0,0.0,0.0,0.0,0.0,24.688074,0.0
6,2026-02-26 15:40:00+10:00,0.087633337,0.02296667,2.1743698,0.0,2.1936031750082536,0.019233333,0.0,0.0,24.688074,0.015878940120501884
7,2026-02-26 15:45:00+10:00,0.115925843,0.04868713,0.0,0.0,2.7452017461897245,2.6054539,0.0,0.13974786,24.675868,0.0
8,2026-02-26 15:50:00+10:00,0.073682642,0.01028422,12.865716,0.0,2.865716450104703,2.9081689,12.908169,0.0,25.628586,0.078998328841806
9,2026-02-26 15:55:00+10:00,0.06238992100000001,1.811e-05,13.316727,0.0,3.3167268172000686,3.0261597,13.02616,0.0,26.590013,0.06923579545904726
10,2026-02-26 16:00:00+10:00,0.062390262,1.842e-05,12.706194,0.0,2.7061938071757488,2.788102,12.788102,0.0,27.533869,0.06606189772356899
11,2026-02-26 16:05:00+10:00,0.05745180100000001,-0.0044710900000000005,12.643506,0.0,2.643506197666386,2.6791039,12.679104,0.0,28.469681,0.06053268255452551
12,2026-02-26 16:10:00+10:00,0.062931,0.00051,12.662425,0.0,2.6624245127629376,2.6906639,12.690664,0.0,29.406346,0.06640492230625
13,2026-02-26 16:15:00+10:00,0.062370033000000005,3.0000000000000004e-08,12.67528,0.0,2.675280232946186,2.7428706,12.742871,0.0,30.346863,0.06587980265702001
14,2026-02-26 16:20:00+10:00,0.063078191,0.00064381,11.127897,0.0,1.127896561771173,1.2225972,11.222597,0.0,31.175174,0.058493967699527256
15,2026-02-26 16:25:00+10:00,0.10181978400000001,0.035863439999999996,0.0,0.0,1.0044108710261699,1.4230328,0.41862192,0.0,31.206071,0.0
