interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-02-17 13:05:00+10:00,0.03586,0.0,5.0,0.0,0.0,0.0,5.0,0.0,15.066562,0.014941666666666667
1,2026-02-17 13:10:00+10:00,0.037088876,0.0011171599999999999,5.0,0.0,0.0,0.0,5.0,0.0,15.433125,0.015453698333333332
2,2026-02-17 13:15:00+10:00,0.027177028999999995,-0.00789361,5.0,0.0,0.0,0.0,5.0,0.0,15.799687,0.011323762083333331
3,2026-02-17 13:20:00+10:00,0.02046,-0.014,5.0,0.0,0.0,0.0,5.0,0.0,16.166249,0.008525
4,2026-02-17 13:25:00+10:00,0.025918078999999997,-0.00903811,5.0,0.0,0.0,0.0,5.0,0.0,16.532811,0.01079919958333333
5,2026-02-17 13:30:00+10:00,0.027194189,-0.00787801,5.0,0.0,0.0,0.0,5.0,0.0,16.899374,0.011330912083333334
6,2026-02-17 13:35:00+10:00,0.029707766,-0.005592939999999999,5.0,0.0,0.0,0.0,5.0,0.0,17.265936,0.012378235833333334
7,2026-02-17 13:40:00+10:00,0.027309017999999997,-0.00777362,5.0,0.0,0.0,0.0,5.0,0.0,17.632498,0.011378757499999998
8,2026-02-17 13:45:00+10:00,0.030362607,-0.00499763,5.0,0.0,0.0,0.0,5.0,0.0,17.999061,0.012651086249999999
9,2026-02-17 13:50:00+10:00,0.029821649,-0.00548941,5.0,0.0,0.0,0.0,5.0,0.0,18.365623,0.012425687083333333
10,2026-02-17 13:55:00+10:00,0.029727885,-0.0055746500000000004,5.0,0.0,0.0,0.0,5.0,0.0,18.732185,0.012386618749999998
11,2026-02-17 14:00:00+10:00,0.029530259,-0.00575431,5.0,0.0,0.0,0.0,5.0,0.0,19.098748,0.012304274583333332
12,2026-02-17 14:05:00+10:00,0.027270782,-0.007808379999999999,5.0,0.0,0.0,0.0,5.0,0.0,19.46531,0.011362825833333333
13,2026-02-17 14:10:00+10:00,0.027858203999999998,-0.00727436,5.0,0.0,0.0,0.0,5.0,0.0,19.831872,0.011607584999999998
14,2026-02-17 14:15:00+10:00,0.030173,-0.00517,5.0,0.0,0.0,0.0,5.0,0.0,20.198434,0.012572083333333333
15,2026-02-17 14:20:00+10:00,0.030462795,-0.00490655,5.0,0.0,0.0,0.0,5.0,0.0,20.564997,0.012692831249999998
16,2026-02-17 14:25:00+10:00,0.027176743000000003,-0.007893869999999999,5.0,0.0,0.0,0.0,5.0,0.0,20.931559,0.011323642916666668
17,2026-02-17 14:30:00+10:00,0.030348999999999998,-0.00501,6.4074799,0.0,1.4074798619002102,2.9110001,7.9110001,0.0,21.511534,0.016205050623758332
18,2026-02-17 14:35:00+10:00,0.030424756999999997,-0.00494113,6.5167402,0.0,1.516740190807299,3.869295,8.869295,0.0,22.161764,0.016522519751427614
19,2026-02-17 14:40:00+10:00,0.027456077,-0.00763993,5.8412821,0.0,0.8412820773241804,4.6106017,9.6106017,0.0,22.866341,0.01336489092636014
20,2026-02-17 14:45:00+10:00,0.027619273,-0.00749157,5.0399472,0.0,0.03994715515701777,3.86616,8.86616,0.0,23.516341,0.0115999731351988
21,2026-02-17 14:50:00+10:00,0.029837268999999996,-0.0054752099999999995,5.0665469,0.0,0.06654693296800059,0.0,5.0,0.0,23.882903,0.01259766022970134
22,2026-02-17 14:55:00+10:00,0.031243794999999998,-0.00419655,5.067799,0.0,0.06779899989565215,0.0,5.0,0.0,24.249465,0.013194772754767083
23,2026-02-17 15:00:00+10:00,0.031724,-0.00376,5.044534,0.0,0.04453403371075789,0.0,5.0,0.0,24.616027,0.013336066384666667
24,2026-02-17 15:05:00+10:00,0.05713742100000001,-0.004756890000000001,5.0325479,0.0,0.0325479498008887,0.0,5.0,0.0,24.98259,0.023962234005413828
25,2026-02-17 15:10:00+10:00,0.05800885200000001,-0.00396468,5.0419548,0.0,0.04195484994600217,0.0,5.0,0.0,25.349152,0.024373167481990803
