interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-02-19 13:55:00+10:00,0.096492473,0.05512043,20.0,0.0,0.0,0.0,20.0,0.0,16.911336,0.1608207883333333
1,2026-02-19 14:00:00+10:00,0.101004618,0.05922238,0.0,0.0,0.0,0.0,0.0,0.0,16.911336,0.0
2,2026-02-19 14:05:00+10:00,0.090624699,0.04978609,20.0,0.0,0.0,0.0,20.0,0.0,17.272673,0.151041165
3,2026-02-19 14:10:00+10:00,0.091437247,0.05052477,20.0,0.0,0.0,0.0,20.0,0.0,17.634009,0.15239541166666665
4,2026-02-19 14:15:00+10:00,0.09271359900000002,0.05168509,20.0,0.0,0.0,0.0,20.0,0.0,17.995346,0.15452266500000003
5,2026-02-19 14:20:00+10:00,0.098076286,0.05656026,20.0,0.0,0.0,0.0,20.0,0.0,18.356682,0.16346047666666666
6,2026-02-19 14:25:00+10:00,0.090893737,0.05003067,20.0,0.0,0.0,0.0,20.0,0.0,18.718019,0.15148956166666666
7,2026-02-19 14:30:00+10:00,0.12031545900000001,0.07677769000000001,0.0,0.0,0.0,0.0,0.0,0.0,18.718019,0.0
8,2026-02-19 14:35:00+10:00,0.098648,0.05708,5.0,0.0,0.0,0.0,5.0,0.0,19.079355,0.04110333333333333
9,2026-02-19 14:40:00+10:00,0.12007161100000001,0.07655601,0.0,0.0,0.0,0.0,0.0,0.0,19.079355,0.0
10,2026-02-19 14:45:00+10:00,0.098538,0.056979999999999996,20.0,0.0,0.0,0.0,20.0,0.0,19.440691,0.16423
11,2026-02-19 14:50:00+10:00,0.10736,0.065,0.0,0.0,0.0,0.0,0.0,0.0,19.440691,0.0
12,2026-02-19 14:55:00+10:00,0.10456603300000002,0.06246003000000001,0.0,0.0,0.0,0.0,0.0,0.0,19.440691,0.0
13,2026-02-19 15:00:00+10:00,0.130075,0.08565,0.0,0.0,0.0,0.0,0.0,0.0,19.440691,0.0
14,2026-02-19 15:05:00+10:00,0.125158,0.05708,0.0,0.0,0.0,0.0,0.0,0.0,19.440691,0.0
