interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-01-15 09:10:00+10:00,0.23267921600000002,0.09382656,0.0,15.0,0.0,0.0,0.0,15.0,22.639906,-0.11728319999999999
1,2026-01-15 09:15:00+10:00,0.230900923,0.09220993,0.0,15.0,0.0,0.0,0.0,15.0,21.329812,-0.11526241249999998
2,2026-01-15 09:20:00+10:00,0.221911338,0.08403758,0.0,15.0,0.0,0.0,0.0,15.0,20.019719,-0.105046975
3,2026-01-15 09:25:00+10:00,0.21316985800000002,0.07609078,0.0,0.0,0.0,0.0,0.0,0.0,20.019719,0.0
4,2026-01-15 09:30:00+10:00,0.20896747300000004,0.07227043000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.019719,0.0
5,2026-01-15 09:35:00+10:00,0.192258,0.05708,0.0,0.0,3.25938236358723,5.8463827,2.5870003,0.0,20.210658,0.0
6,2026-01-15 09:40:00+10:00,0.201298383,0.06529853,0.0,0.0,0.0,2.2185431,2.2185431,0.0,20.374403,0.0
7,2026-01-15 09:45:00+10:00,0.192148,0.056979999999999996,0.0,0.0,0.15094217909707108,6.6188009,6.4678588,0.0,20.851779,0.0
8,2026-01-15 09:50:00+10:00,0.20395056000000003,0.0677096,0.0,9.4761234,2.466473442010944,11.942597,0.0,0.0,20.851779,-0.05346871041371999
9,2026-01-15 09:55:00+10:00,0.170057118,0.03689738,0.0,0.0,2.6687850749277153,1.8929433,0.0,0.77584174,20.784017,0.0
10,2026-01-15 10:00:00+10:00,0.203170649,0.06700059,0.0,0.0,2.5908529263401716,7.3016833,4.7108304,0.0,21.131711,0.0
11,2026-01-15 10:05:00+10:00,0.125856456,0.07031496,0.0,4.5478996,1.9227879220583806,6.4706875,0.0,0.0,21.131711,-0.026648781538167996
12,2026-01-15 10:10:00+10:00,0.12497622500000001,0.06951475,0.0,2.3081071,0.822586494976234,3.1306936,0.0,0.0,21.131711,-0.013370624002477082
13,2026-01-15 10:15:00+10:00,0.111298,0.05708,0.0,0.0,1.0091154001523595,4.5194761,3.5103607,0.0,21.390802,0.0
14,2026-01-15 10:20:00+10:00,0.10858027400000002,0.054609340000000006,0.0,0.0,1.011978266543344,3.4917908,2.4798125,0.0,21.57383,0.0
15,2026-01-15 10:25:00+10:00,0.114539546,0.06002686,0.0,0.0,0.902791802992588,3.2283376,2.3255458,0.0,21.745473,0.0
16,2026-01-15 10:30:00+10:00,0.091465209,0.03905019,0.0,0.0,0.878340983202822,4.8430067,3.9646657,0.0,22.038094,0.0
17,2026-01-15 10:35:00+10:00,0.10704364,0.0532124,0.0,0.0,0.9895801853173389,5.3237161,4.3341359,0.0,22.357985,0.0
18,2026-01-15 10:40:00+10:00,0.11273606300000001,0.05838733,0.0,0.0,1.0448191337380195,5.3449035,4.3000844,0.0,22.675363,0.0
19,2026-01-15 10:45:00+10:00,0.114225727,0.05974157,0.0,0.0,1.074906619429488,4.5988794,3.5239727,0.0,22.935459,0.0
20,2026-01-15 10:50:00+10:00,0.11386155000000002,0.0594105,0.0,0.0,0.9962512462746567,5.6738766,4.6776253,0.0,23.280702,0.0
21,2026-01-15 10:55:00+10:00,0.111298,0.05708,0.0,0.0,1.0901704377882693,8.9990894,7.908919,0.0,23.864438,0.0
22,2026-01-15 11:00:00+10:00,0.11609727800000001,0.06144298,0.0,0.0,1.021179263382888,7.9846915,6.9635122,0.0,24.378397,0.0
23,2026-01-15 11:05:00+10:00,0.141779066,0.08479006,0.0,13.956359,1.0436405996098777,7.8969213,0.0,7.1030787,23.758017,-0.09861337641596166
24,2026-01-15 11:10:00+10:00,0.15988500000000003,0.10125,0.0,13.844834,1.15516612662626,9.4515846,0.0,5.5484154,23.273421,-0.11681578687500001
25,2026-01-15 11:15:00+10:00,0.14272500000000002,0.08565,0.0,13.966167,1.033832593508381,9.2233874,0.0,5.7766126,22.768894,-0.09968351696250001
26,2026-01-15 11:20:00+10:00,0.11127609900000002,0.05706009,0.0,0.0,0.9902203674780097,8.3475424,7.3573221,0.0,23.311918,0.0
27,2026-01-15 11:25:00+10:00,0.11413366800000001,0.059657879999999996,0.0,0.0,1.0934701621715734,8.6751861,7.5817159,0.0,23.871505,0.0
28,2026-01-15 11:30:00+10:00,0.111298,0.05708,0.0,0.0,1.165642149912753,8.2727749,7.1071327,0.0,24.396064,0.0
