interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-01-23 10:45:00+10:00,0.096762809,0.03126619,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
1,2026-01-23 10:50:00+10:00,0.09978100000000001,0.03401,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
2,2026-01-23 10:55:00+10:00,0.11684564100000001,0.04952331,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
3,2026-01-23 11:00:00+10:00,0.12376388200000002,0.05581262,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
4,2026-01-23 11:05:00+10:00,0.07552600000000001,0.03606,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
5,2026-01-23 11:10:00+10:00,0.07552600000000001,0.03606,0.0,0.0,0.0,0.0,0.0,0.0,23.95,0.0
6,2026-01-23 11:15:00+10:00,0.12056000000000001,0.077,0.0,8.0,0.0,0.0,0.0,8.0,23.251283,-0.05133333333333333
7,2026-01-23 11:20:00+10:00,0.070617294,0.03159754,0.0,0.0,0.0,0.0,0.0,0.0,23.251283,0.0
8,2026-01-23 11:25:00+10:00,0.07552600000000001,0.03606,0.0,0.0,0.0,0.0,0.0,0.0,23.251283,0.0
9,2026-01-23 11:30:00+10:00,0.07552600000000001,0.03606,0.0,0.0,0.0,0.0,0.0,0.0,23.251283,0.0
10,2026-01-23 11:35:00+10:00,0.07552600000000001,0.03606,0.0,0.0,0.0,0.0,0.0,0.0,23.251283,0.0
11,2026-01-23 11:40:00+10:00,0.12056000000000001,0.077,0.0,8.0,0.0,0.0,0.0,8.0,22.552567,-0.05133333333333333
12,2026-01-23 11:45:00+10:00,0.12137213000000001,0.0777383,0.0,8.0,0.0,0.0,0.0,8.0,21.85385,-0.051825533333333326
13,2026-01-23 11:50:00+10:00,0.07552644,0.0360604,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
14,2026-01-23 11:55:00+10:00,0.072109829,0.03295438999999999,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
15,2026-01-23 12:00:00+10:00,0.07188416400000001,0.03274924,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
16,2026-01-23 12:05:00+10:00,0.073271,0.03401,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
17,2026-01-23 12:10:00+10:00,0.09023608,0.0494328,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
18,2026-01-23 12:15:00+10:00,0.07552644,0.0360604,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
19,2026-01-23 12:20:00+10:00,0.07051724899999999,0.03150659,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
20,2026-01-23 12:25:00+10:00,0.073271,0.03401,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
21,2026-01-23 12:30:00+10:00,0.074819976,0.03541816,0.0,0.0,0.0,0.0,0.0,0.0,21.85385,0.0
22,2026-01-23 12:35:00+10:00,0.048168681,0.01118971,8.0,0.0,0.0,0.0,8.0,0.0,22.444309,0.032112454
23,2026-01-23 12:40:00+10:00,0.035920599,5.509e-05,8.0,0.0,0.0,0.0,8.0,0.0,23.034768,0.023947065999999996
24,2026-01-23 12:45:00+10:00,0.074140418,0.03480038,0.0,0.0,0.0,0.0,0.0,0.0,23.034768,0.0
25,2026-01-23 12:50:00+10:00,0.07434705300000001,0.03498823,0.0,0.0,0.0,0.0,0.0,0.0,23.034768,0.0
26,2026-01-23 12:55:00+10:00,0.048232953999999995,0.01124814,8.0,0.0,0.0,0.0,8.0,0.0,23.625227,0.03215530266666666
27,2026-01-23 13:00:00+10:00,0.07119097699999999,0.03211907,0.0,0.0,0.0,0.0,0.0,0.0,23.625227,0.0
28,2026-01-23 13:05:00+10:00,0.073697932,0.03439812,0.0,0.0,0.0,0.0,0.0,0.0,23.625227,0.0
