interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-03-25 14:25:00+10:00,0.043175000000000005,0.03925,8.0,0.0,0.0,0.0,8.0,0.0,28.211416,0.028783333333333334
1,2026-03-25 14:30:00+10:00,0.056792846,0.05162986,8.0,0.0,0.0,0.0,8.0,0.0,28.783832,0.03786189733333333
2,2026-03-25 14:35:00+10:00,0.023999855,0.02181805,8.0,0.0,0.0,0.0,8.0,0.0,29.356248,0.015999903333333333
3,2026-03-25 14:40:00+10:00,0.058196853,0.05290623,8.0,0.0,0.0,0.0,8.0,0.0,29.928664,0.038797901999999995
4,2026-03-25 14:45:00+10:00,0.046147651000000005,0.04195241,8.0,0.0,0.0,0.0,8.0,0.0,30.50108,0.03076510066666667
5,2026-03-25 14:50:00+10:00,0.073568,0.06688,8.0,0.0,0.0,0.0,8.0,0.0,31.073495,0.04904533333333333
6,2026-03-25 14:55:00+10:00,0.07747300000000001,0.07043,8.0,0.0,0.0,0.0,8.0,0.0,31.645911,0.051648666666666676
7,2026-03-25 15:00:00+10:00,0.073568,0.06688,8.0,0.0,0.0,0.0,8.0,0.0,32.218327,0.04904533333333333
8,2026-03-25 15:05:00+10:00,0.09970636500000002,0.09064215,0.0,0.0,0.0,0.0,0.0,0.0,32.218327,0.0
9,2026-03-25 15:10:00+10:00,0.12106295300000001,0.11005723,0.0,0.0,0.0,0.0,0.0,0.0,32.218327,0.0
10,2026-03-25 15:15:00+10:00,0.10269921200000001,0.09336292,0.38521179,0.0,1.5052817851283922,1.12007,0.0,0.0,32.218327,0.00329674560717579
11,2026-03-25 15:20:00+10:00,0.0869,0.079,9.5650046,0.0,1.5650046403037055,0.57810333,8.5781033,0.0,32.832108,0.06926657497833333
12,2026-03-25 15:25:00+10:00,0.07137900000000001,0.06489,9.636391,0.0,1.6363909807240222,0.66833167,8.6683317,0.0,33.452344,0.05731966276575001
13,2026-03-25 15:30:00+10:00,0.07137900000000001,0.06489,9.5908631,0.0,1.5908631372321689,1.0450117,9.0450117,0.0,34.099533,0.057048851434575006
14,2026-03-25 15:35:00+10:00,0.12384133300000001,0.11258303,0.0,3.4520072,4.54799282685913,2.8245767,0.0,5.1754233,33.645037,-0.03238645251315134
15,2026-03-25 15:40:00+10:00,0.12427800000000001,0.11298,0.0,2.1259291,5.874070946358738,2.551005,0.0,5.448995,33.166518,-0.0200156224765
16,2026-03-25 15:45:00+10:00,0.12427800000000001,0.11298,0.0,2.0508992,5.949100781405966,2.3780783,0.0,5.6219217,32.672812,-0.019309215967999997
17,2026-03-25 15:50:00+10:00,0.11537905500000001,0.10489005,0.0,0.0,5.300435429583375,2.252865,0.0,3.0475704,32.405181,0.0
18,2026-03-25 15:55:00+10:00,0.13655478100000001,0.12414071,0.0,4.5612912,3.4387087529788327,2.0538417,0.0,5.9461583,31.883001,-0.047186827340396004
19,2026-03-25 16:00:00+10:00,0.131543445,0.11958495000000001,0.0,3.6690526,4.33094742493936,1.9525067,0.0,6.0474933,31.351923,-0.0365636226431975
20,2026-03-25 16:05:00+10:00,0.073052914,0.06641174,12.948818,0.0,4.948818264248845,1.8143217,9.8143217,0.0,32.054157,0.07882907397963765
21,2026-03-25 16:10:00+10:00,0.11627000000000001,0.1057,0.0,0.0,4.699098763982035,0.77692667,0.0,3.9221721,31.70972,0.0
22,2026-03-25 16:15:00+10:00,0.10795400000000001,0.09814,3.4888278,0.0,3.7866710892587276,0.29784333,0.0,0.0,31.70972,0.031386076360100004
23,2026-03-25 16:20:00+10:00,0.11627000000000001,0.1057,0.0,0.0,4.146387208421808,0.33792167,0.0,3.8084655,31.375269,0.0
24,2026-03-25 16:25:00+10:00,0.119957211,0.10905200999999999,0.0,0.0,4.292563185735153,0.38375667,0.0,3.9088065,31.032005,0.0
25,2026-03-25 16:30:00+10:00,0.12729541,0.1157231,0.0,3.5440038,4.455996218807404,0.466425,0.0,7.533575,30.370422,-0.03417692551231499
26,2026-03-25 16:35:00+10:00,0.10304512900000001,0.09367739,3.6138385,0.0,4.097295185013127,0.48345666,0.0,0.0,30.370422,0.03103237120147221
27,2026-03-25 16:40:00+10:00,0.11479600000000001,0.10436,0.0,0.0,3.1624810792788525,0.38234667,0.0,2.7801344,30.126276,0.0
28,2026-03-25 16:45:00+10:00,0.11479600000000001,0.10436,0.0,0.0,3.407151757625392,0.36768333,0.0,3.0394684,29.859356,0.0
29,2026-03-25 16:50:00+10:00,0.11515483100000001,0.10468621,0.0,0.0,3.6281510294803074,0.42289,0.0,3.205261,29.577877,0.0
30,2026-03-25 16:55:00+10:00,0.11660000000000001,0.106,0.0,0.0,2.980270871013612,0.559825,0.0,2.4204459,29.365318,0.0
31,2026-03-25 17:00:00+10:00,0.11479600000000001,0.10436,0.0,0.0,5.679295281345646,0.75297,0.0,4.9263253,28.932699,0.0
32,2026-03-25 17:05:00+10:00,0.106748356,0.09704396,5.2041617,0.0,5.862641661614174,0.65848,0.0,0.0,28.932699,0.04629464215276377
33,2026-03-25 17:10:00+10:00,0.113077294,0.10279753999999999,0.0,0.0,4.903028085052277,0.53301166,0.0,4.3700164,28.548933,0.0
34,2026-03-25 17:15:00+10:00,0.11479600000000001,0.10436,0.0,0.0,4.84653043450067,0.34528833,0.0,4.5012421,28.153643,0.0
35,2026-03-25 17:20:00+10:00,0.11627000000000001,0.1057,0.0,0.0,2.7402637900298012,0.28288,0.0,2.4573838,27.937841,0.0
36,2026-03-25 17:25:00+10:00,0.12052346900000001,0.10956679,0.0,0.0,1.6727976465846104,0.18343167,0.0,1.489366,27.807048,0.0
37,2026-03-25 17:30:00+10:00,0.12404293000000001,0.1127663,0.0,5.8490422,2.15095777907672,0.13586667,0.0,7.8641333,27.116435,-0.05496457061982167
38,2026-03-25 17:35:00+10:00,0.11559432500000001,0.10508575,0.0,0.0,2.112231811731439,0.11756333,0.0,1.9946685,26.941268,0.0
39,2026-03-25 17:40:00+10:00,0.12584086900000002,0.11440079,0.0,6.2726985,1.727301468960941,0.087088334,0.0,7.9129117,26.246372,-0.05980013865265125
40,2026-03-25 17:45:00+10:00,0.130752479,0.11886588999999999,0.0,6.0968033,1.9031966685752075,0.072628333,0.0,7.9273717,25.550207,-0.06039182920078641
41,2026-03-25 17:50:00+10:00,0.12623600000000001,0.11476,0.0,6.029513,1.9704869696870448,0.05194,0.0,7.94806,24.852224,-0.05766224265666667
42,2026-03-25 17:55:00+10:00,0.124786057,0.11344187,0.0,6.0484612,1.9515388400340452,0.028516667,0.0,7.9714833,24.152185,-0.05717906242920366
43,2026-03-25 18:00:00+10:00,0.132979,0.12089,0.0,5.770697,2.2293030470514252,0.010078333,0.0,7.9899217,23.450526,-0.05813496336083333
44,2026-03-25 18:05:00+10:00,0.132979,0.12089,0.0,6.6704317,1.3295682807282394,0.0036600001,0.0,7.99634,22.748304,-0.06719904068441666
45,2026-03-25 18:10:00+10:00,0.130322863,0.11847533,0.0,7.1422482,0.8577517803199589,0.003,0.0,7.997,22.046024,-0.0705150177030755
46,2026-03-25 18:15:00+10:00,0.11259964100000001,0.10236331,0.0,0.0,0.9392627491796157,0.0022233334,0.0,0.93703942,21.963735,0.0
47,2026-03-25 18:20:00+10:00,0.12461212500000002,0.11328375,0.0,7.0598033,0.9401966644117298,0.0010333334,0.0,7.9989667,21.261282,-0.06664674934053125
48,2026-03-25 18:25:00+10:00,0.125387141,0.11398831,0.0,6.6321041,1.3678959419244447,0.001,0.0,7.999,20.558827,-0.06299852817525592
49,2026-03-25 18:30:00+10:00,0.126955609,0.11541419,0.0,6.7853525,1.2146475047199057,0.001,0.0,7.999,19.856371,-0.06526049688766458
50,2026-03-25 18:35:00+10:00,0.13204562800000003,0.12004148,0.0,6.9017638,1.0982362359894524,0.0007816667,0.0,7.9992183,19.153896,-0.06904149509686866
51,2026-03-25 18:40:00+10:00,0.114949087,0.10449917,0.0,0.0,1.0579476474225522,0.0,0.0,1.0579476,19.060989,0.0
