interval,timestamp,import_price,export_price,grid_import_kw,grid_export_kw,house_load_kw,solar_output_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,net_cost
0,2026-04-09 14:25:00+10:00,0.05586348900000001,0.05078499,5.0,0.0,0.0,0.0,5.0,0.0,15.066562,0.023276453750000002
1,2026-04-09 14:30:00+10:00,0.055496551000000005,0.05045141,5.0,0.0,0.0,0.0,5.0,0.0,15.433125,0.023123562916666666
2,2026-04-09 14:35:00+10:00,0.041778,0.03798,5.0,0.0,0.0,0.0,5.0,0.0,15.799687,0.0174075
3,2026-04-09 14:40:00+10:00,0.057951597,0.05268327,5.0,0.0,0.0,1.0203883,6.0203883,0.0,16.241056,0.02414649875
4,2026-04-09 14:45:00+10:00,0.057443584000000006,0.05222144,5.5484676,0.0,0.5484675794647648,0.52174834,5.5217483,0.0,16.645869,0.026560322054323203
5,2026-04-09 14:50:00+10:00,0.041778,0.03798,6.0385195,0.0,1.0385194985828523,1.1627167,6.1627167,0.0,17.097673,0.02102310563925
6,2026-04-09 14:55:00+10:00,0.062678,0.056979999999999996,5.9242809,0.0,0.9242809135150355,0.75234833,5.7523483,0.0,17.519392,0.03094350652085
7,2026-04-09 15:00:00+10:00,0.0869,0.079,0.042758049,0.0,0.9477697174577043,0.90501167,0.0,0.0,17.519392,0.000309639538175
8,2026-04-09 15:05:00+10:00,0.06396500000000001,0.05815,6.0390721,0.0,1.0390720688464308,0.90881833,5.9088183,0.0,17.952582,0.03219077057304167
9,2026-04-09 15:10:00+10:00,0.06419512000000001,0.0583592,5.9565928,0.0,0.9565928344180188,0.784185,5.784185,0.0,18.376635,0.031865349132261335
10,2026-04-09 15:15:00+10:00,0.06396500000000001,0.05815,5.9990782,0.0,0.9990781788137306,0.69139166,5.6913917,0.0,18.793885,0.03197758642191667
11,2026-04-09 15:20:00+10:00,0.06396500000000001,0.05815,5.8279624,0.0,0.8279623721005988,0.35798167,5.3579817,0.0,19.186692,0.031065467909666668
12,2026-04-09 15:25:00+10:00,0.06617888200000001,0.06016262,5.9011426,0.0,0.9011425849422812,0.515615,5.515615,0.0,19.591055,0.032544251649214435
13,2026-04-09 15:30:00+10:00,0.08838499999999999,0.08034999999999999,0.47824185,0.0,0.8500885212731859,0.37184667,0.0,0.0,19.591055,0.0035224504926875
14,2026-04-09 15:35:00+10:00,0.09516100000000001,0.08651,0.39147715,0.0,0.6634088175880098,0.27193167,0.0,0.0,19.591055,0.0031044464225958336
15,2026-04-09 15:40:00+10:00,0.076562035,0.06960184999999999,5.4629117,0.0,0.4629116824738071,0.29425333,5.2942533,0.0,19.97919,0.03485430306477579
16,2026-04-09 15:45:00+10:00,0.07743802000000001,0.07039820000000001,5.3867744,0.0,0.3867744478693931,0.19668833,5.1966883,0.0,20.360172,0.03476176197689067
17,2026-04-09 15:50:00+10:00,0.0869,0.079,0.1987435,0.0,0.43179849991574887,0.233055,0.0,0.0,20.360172,0.0014392341791666665
18,2026-04-09 15:55:00+10:00,0.08974180600000001,0.08158346,0.21604512,0.0,0.42936511615912126,0.21332,0.0,0.0,20.360172,0.00161568993719056
19,2026-04-09 16:00:00+10:00,0.102096445,0.09281495,0.0,0.0,0.42020391510799526,0.19345166,0.0,0.22675225,20.340254,0.0
20,2026-04-09 16:05:00+10:00,0.073568,0.06688,5.4197616,0.0,0.41976161769901715,0.17920833,5.1792083,0.0,20.719954,0.0332267517824
21,2026-04-09 16:10:00+10:00,0.11470503000000001,0.1042773,0.0,4.5883368,0.41166323269406957,0.17603833,0.0,4.8239617,20.29622,-0.03987161441622
22,2026-04-09 16:15:00+10:00,0.07373201,0.0670291,5.41723,0.0,0.41722998227924113,0.170345,5.170345,0.0,20.675271,0.03328527137769166
23,2026-04-09 16:20:00+10:00,0.132315535,0.12028685,0.0,4.539991,0.4600090331149598,0.16264,0.0,4.83736,20.25036,-0.04550843470152916
24,2026-04-09 16:25:00+10:00,0.11110000000000002,0.101,0.0,4.280683,0.7193169870371707,0.13952333,0.0,4.8604767,19.823418,-0.036029081916666664
25,2026-04-09 16:30:00+10:00,0.116270077,0.10570007,0.0,4.4353378,0.5646622175474966,0.14441,0.0,4.85559,19.396906,-0.03906795966113716
26,2026-04-09 16:35:00+10:00,0.097779,0.08889,0.41885572,0.0,0.5546090491861105,0.13575333,0.0,0.0,19.396906,0.00341294112049
27,2026-04-09 16:40:00+10:00,0.11660000000000001,0.106,0.0,4.4355063,0.5644936818629503,0.12473,0.0,4.87527,18.968665,-0.03918030565
28,2026-04-09 16:45:00+10:00,0.1331,0.121,0.0,4.4374512,0.5625487858553728,0.11186167,0.0,4.8881383,18.539294,-0.044744299599999995
