Date,NSW RRP,PEAK RRP,QLD RRP,PEAK RRP,SA RRP,PEAK RRP,TAS RRP,PEAK RRP,VIC RRP,PEAK RRP
2025/10/01,$34.97,$20.84,$53.44,$47.72,-$7.93,-$9.17,$1.12,$2.17,-$5.05,-$5.09
2025/10/02,$35.15,$23.66,$37.08,$18.56,$14.30,$9.87,$1.55,$3.17,$9.04,$13.53
2025/10/03,$48.18,$34.82,$28.92,$16.05,$63.20,$53.11,$20.82,$29.60,$46.71,$50.92
2025/10/04,$47.87,N/A,$28.25,N/A,$25.75,N/A,$4.79,N/A,$29.27,N/A
2025/10/05,$26.46,N/A,$22.24,N/A,-$17.55,N/A,$5.92,N/A,-$15.23,N/A
2025/10/06,$52.42,$48.81,$26.34,$14.96,$51.53,$60.70,$10.12,$9.80,$48.64,$56.97
2025/10/07,$115.27,$90.01,$50.27,$33.64,$80.09,$25.03,$21.26,$7.36,$69.15,$25.64
2025/10/08,$58.30,$43.45,$40.14,$22.24,$64.40,$6.25,$6.01,$2.15,$29.42,$9.43
2025/10/09,$123.07,$159.17,$45.43,$40.81,-$1.66,-$3.56,$1.74,$2.52,-$1.12,-$7.76
2025/10/10,$130.36,$161.30,$54.11,$35.54,-$33.82,-$47.27,$7.95,$6.63,-$25.14,-$36.65
2025/10/11,$32.11,N/A,$39.88,N/A,$7.90,N/A,$6.03,N/A,$7.05,N/A
2025/10/12,$58.33,N/A,$60.52,N/A,$38.40,N/A,$13.58,N/A,$31.41,N/A
2025/10/13,$67.46,$43.51,$79.42,$61.04,$92.04,$56.70,$36.44,$26.45,$88.13,$59.57
2025/10/14,$60.10,$39.54,$44.11,$31.96,$66.48,$43.72,$17.44,$13.86,$61.23,$40.37
2025/10/15,$100.20,$72.29,$58.82,$35.30,$96.33,$62.65,$46.36,$34.23,$100.05,$68.94
2025/10/16,$55.89,$49.81,$39.87,$28.12,$20.27,$17.81,$18.07,$20.47,$34.69,$35.67
2025/10/17,$93.61,$106.17,$36.34,$21.78,$43.05,$2.64,$14.83,$15.42,$46.54,$27.04
2025/10/18,$51.89,N/A,$39.72,N/A,$30.63,N/A,$16.45,N/A,$41.23,N/A
2025/10/19,$42.00,N/A,$38.80,N/A,$20.46,N/A,$10.54,N/A,$22.61,N/A
2025/10/20,$65.92,$55.74,$55.61,$45.46,$117.19,$117.77,$6.09,$1.95,$128.85,$135.56
2025/10/21,$92.95,$92.47,$59.93,$45.87,$132.28,$115.55,$0.24,$0.48,$143.97,$125.04
2025/10/22,$69.02,$73.02,$43.47,$33.46,$2.41,-$4.94,$17.62,$22.77,$10.47,$5.38
2025/10/23,$94.20,$73.65,$89.40,$75.54,$137.26,$126.91,$1.43,$1.69,$103.78,$80.95
2025/10/24,$83.08,$50.54,$69.82,$42.14,$87.73,$50.30,$10.98,$9.84,$93.15,$57.09
2025/10/25,$105.93,N/A,$96.92,N/A,$79.99,N/A,$35.44,N/A,$95.95,N/A
2025/10/26,$58.97,N/A,$54.29,N/A,-$12.00,N/A,$8.79,N/A,$12.88,N/A
2025/10/27,$63.42,$56.88,$80.32,$75.40,$35.04,$40.33,$63.79,$72.38,$6.69,$3.95
2025/10/28,$120.46,$118.59,$114.81,$108.26,$55.57,$34.14,$78.40,$66.76,$55.86,$34.69
2025/10/29,$161.33,$135.77,$76.68,$59.87,$117.23,$82.44,$105.07,$98.01,$121.24,$88.96
2025/10/30,$120.71,$85.34,$69.75,$58.46,$108.57,$83.42,$91.44,$85.06,$100.78,$75.62
2025/10/31,$117.99,$108.63,$90.83,$92.87,$40.09,-$2.40,$80.61,$85.56,$100.10,$93.02
